massfeature_rows	m/z	retention_time	p_value	statistic	CompoundID_from_user
row132	119.0491	205.16	0.7031775629432593	1.9785636774440034	C6H5N3
row133	150.0301	270.84	0.7206050370928386	-1.051279773676199	
row134	150.0413	135.98	0.7031775629432593	-1.7493021718090007	C5H13NS2
row135	150.8858	134.8	0.7260893858396382	-0.9232378655538653	
row136	150.8858	150.45	0.7206050370928386	-1.109258580619395	
row137	175.0718	305.9	0.7031775629432593	-2.6589977079648737	C6H12N2O4
row138	175.8391	135.85	0.7206050370928386	-1.1520172725741027	
row139	175.8391	150.06	0.7206050370928386	1.1989486535960843	
row140	151.0447	132.96	0.7206050370928386	-1.1802201113345074	C5H13NS2
row141	151.0447	133.61	0.7206050370928386	-1.1661042481050545	
row142	151.0447	136.11	0.7206050370928386	-1.4407360251606633	
row143	151.0447	139.13	0.7031775629432593	2.1426043891629503	
row144	151.0586	50.11	0.7031775629432593	-2.486667014959572	
row145	151.8733	149.8	0.7031775629432593	1.9965157970402128	
row146	119.9065	150.32	0.8762807003602546	-0.3385174182190843	
row147	119.9848	134.27	0.943109336067964	-0.16788747671420903	C3H3NO2
row148	119.9848	147.83	0.8055645591306227	0.5360517612253065	C3H3NO2
row149	119.9848	149.8	0.943109336067964	0.17157289297566017	C3H3NO2
row150	119.9848	152.19	0.7260893858396382	-0.9533284872147294	C3H3NO2
row151	176.0193	329.14	0.7260893858396382	0.84093903930665	
row152	152.0709	346.08	0.7260893858396382	0.9364783641721168	C6H8N4O
row153	176.0346	225.84	0.7260893858396382	0.9729174122012803	C9H9NO4,C9H7NO3
row154	152.8829	134.8	0.7031775629432593	-1.627429748638162	CHCl3
row155	152.8829	137.68	0.7031775629432593	1.6313201034162397	CHCl3
row156	152.8829	150.45	0.7206050370928386	-1.3063147693124797	CHCl3
row157	152.9855	283.31	0.7031775629432593	-1.5429096572336587	
row158	152.995	191.97	0.7031775629432593	-1.9009184751396875	C4H6O4
row159	152.995	210.97	0.7320042120692851	-0.7921457386755821	C4H6O4
row160	176.8359	135.85	0.7444569739075236	-0.7231043265237322	
row161	176.8359	150.06	0.7206050370928386	1.191303471941215	
row162	176.9162	364.07	0.7206050370928386	-1.0311804141787775	
row163	153.016	216.35	0.7720309225219256	0.6247952887156902	
row164	93.0335	204.63	0.7206050370928386	1.1031186737165635	
row165	121.0312	243.2	0.7031775629432593	-1.7416029818976202	
row166	176.9585	20.86	0.7260893858396382	0.9088438860454643	
row167	94.924	135.19	0.7031775629432593	-1.718576987703593	
row168	94.924	150.19	0.7260893858396382	-0.8572445607180769	
row169	153.0548	34.95	0.7260893858396382	-0.9761486194775648	C6H7N3O2
row170	153.8992	1.17	0.842615226254888	-0.438536424086676	
row171	122.0601	49.85	0.7206050370928386	-1.2073819091708229	
row172	122.8932	39.81	0.7031775629432593	-3.9549133048931715	
row173	154.0138	37.32	0.9077835573871241	0.2577979871420834	
row174	95.9751	191.05	0.7031775629432593	-1.8401588762348862	
row175	177.0664	31.93	0.7031775629432593	1.9981757313386643	C9H10N2O2,C9H12N2O3,C7H7N5O
row176	96.0274	32.85	0.829163782988564	-0.4714811340536708	
row177	154.0568	191.71	0.7031775629432593	2.0375845477761025	
row178	177.0915	25.32	0.763298182787676	-0.6643271983001922	C11H14O2,C11H16O3,C9H11N3O,C8H16NO
row179	96.9211	135.19	0.7031775629432593	-1.6666881531329052	
row180	96.9211	149.93	0.7206050370928386	-1.081122543960362	
row181	124.0063	212.41	0.9977364485201113	-0.01032141246197133	
row182	177.9124	134.8	0.7746989571756574	-0.6143121972802851	H3IO3
row183	177.9124	150.58	0.9411483504329923	0.1894918708525906	H3IO3
row184	154.868	149.8	0.7031775629432593	2.5920300955211655	
row185	154.88	134.93	0.7206050370928386	-1.3716018776032946	
row186	154.88	150.45	0.7206050370928386	-1.2200223125709329	
row187	178.8332	135.85	0.8673543652757845	0.3626749201161961	
row188	178.8332	149.93	0.9292012132834768	0.2167368869447519	
row189	124.9904	34.3	0.7031775629432593	1.98967803971053	
row190	125.0347	34.95	0.7031775629432593	-2.971281338463842	
row191	178.912	364.07	0.8282442262465486	-0.4790143305228593	
row192	125.0425	225.15	0.7031775629432593	-1.7772471983202187	C7H10S,C7H12OS
row193	97.0648	27.04	0.7031775629432593	2.6967207567344	
row194	155.0089	172.5	0.7031775629432593	3.7475618781873314	
row195	125.8721	134.8	0.7031775629432593	-1.7404190267508177	
row196	125.8721	151.53	0.7260893858396382	-0.8315575386086169	
row197	97.9762	201.35	0.8074545112729902	-0.5313345133564189	
row198	125.9898	34.43	0.7206050370928386	1.1567731100939196	CH5N3S
row199	125.9938	34.3	0.7031775629432593	2.900170197322539	
row200	126.9041	29.54	0.9152979023381124	-0.24497078968861222	
row201	126.9862	34.3	0.7260893858396382	0.8901521081092088	C5H4O2S
row202	126.9948	34.3	0.7031775629432593	1.5726687719178163	
row203	98.948	1.04	0.7260893858396382	-0.9431029972284439	
row204	155.8648	149.8	0.7031775629432593	2.817895073770389	
row205	127.0028	146.91	0.7260893858396382	0.8307014521358251	
row206	127.0028	152.84	0.7031775629432593	1.8871057973877334	
row207	127.0028	190.23	0.8815955763245099	-0.32654680847661205	
row208	127.0028	192.63	0.7260893858396382	0.9656220544252284	
row209	127.0028	199.48	0.7206050370928386	1.0276925825825798	
row210	127.0754	191.71	0.7031775629432593	1.6635136465782925	
row211	127.8692	134.27	0.7031775629432593	-2.2811137955089382	
row212	127.8692	151.14	0.7031775629432593	-1.6790496269070476	
row213	179.8402	135.32	0.7206050370928386	-1.3361653241738443	
row214	179.8402	150.45	0.7206050370928386	-1.2454207909225778	
row215	179.8819	363.02	0.7770534527526214	-0.6066291074978877	
row216	179.8819	365.51	0.7746989571756574	-0.6140136011862994	C20H39NO2,C20H39NO2
row217	156.0269	266.24	0.7206050370928386	-1.2370748607847175	
row218	127.9802	33.77	0.7031775629432593	4.274078759658169	C3H6Cl2O
